,model,num.p,num.betas,prct.strong,prct.wai,prct.wbc,c
1,Stepwise,30,15,1,0.6,0.2,1
2,LASSO,30,12,1,0.5,0.1,1
3,Stepwise,30,15,1,0.5,0.2,1
4,LASSO,30,12,1,0.5,0.2,1
5,Stepwise,30,15,1,0.6,0.2,1
6,LASSO,30,14,1,0.7,0.2,1
7,Stepwise,30,12,1,0.6,0,1
8,LASSO,30,9,1,0.3,0.1,1
9,Stepwise,30,18,1,0.8,0.2,1
10,LASSO,30,19,1,0.7,0.3,1
11,Stepwise,30,13,1,0.5,0.1,1
12,LASSO,30,10,1,0.3,0.1,1
13,Stepwise,30,16,1,0.7,0.2,1
14,LASSO,30,14,1,0.6,0.3,1
15,Stepwise,30,11,1,0.3,0.2,1
16,LASSO,30,9,1,0.2,0.2,1
17,Stepwise,30,17,1,0.8,0.1,1
18,LASSO,30,24,1,1,0.5,1
19,Stepwise,30,13,1,0.5,0.1,1
20,LASSO,30,14,1,0.6,0.3,1
21,Stepwise,30,10,1,0.3,0.1,1
22,LASSO,30,9,1,0.2,0.2,1
23,Stepwise,30,15,1,0.6,0.1,1
24,LASSO,30,11,1,0.6,0,1
25,Stepwise,30,15,1,0.5,0.2,1
26,LASSO,30,13,1,0.5,0.3,1
27,Stepwise,30,17,1,0.8,0.2,1
28,LASSO,30,14,1,0.6,0.2,1
29,Stepwise,30,16,1,0.8,0.1,1
30,LASSO,30,15,1,0.8,0.2,1
31,Stepwise,30,21,1,0.9,0.5,1
32,LASSO,30,22,1,0.9,0.6,1
33,Stepwise,30,11,1,0.4,0,1
34,LASSO,30,8,1,0.3,0,1
35,Stepwise,30,14,1,0.6,0,1
36,LASSO,30,15,1,0.6,0.2,1
37,Stepwise,30,16,1,0.6,0.3,1
38,LASSO,30,13,1,0.5,0.2,1
39,Stepwise,30,13,1,0.4,0.3,1
40,LASSO,30,9,1,0.3,0.1,1
41,Stepwise,30,19,1,0.7,0.4,1
42,LASSO,30,11,1,0.4,0.1,1
43,Stepwise,30,16,1,0.8,0.1,1
44,LASSO,30,17,1,0.8,0.2,1
45,Stepwise,30,16,1,0.7,0.2,1
46,LASSO,30,16,1,0.7,0.3,1
47,Stepwise,30,19,1,0.9,0.3,1
48,LASSO,30,18,1,0.8,0.4,1
49,Stepwise,30,17,1,0.9,0.1,1
50,LASSO,30,12,1,0.6,0,1
51,Stepwise,30,11,1,0.1,0.4,1
52,LASSO,30,7,1,0,0.2,1
53,Stepwise,30,13,1,0.3,0.2,1
54,LASSO,30,8,1,0,0.3,1
55,Stepwise,30,13,1,0.4,0.2,1
56,LASSO,30,9,1,0.3,0,1
57,Stepwise,30,17,1,0.8,0.3,1
58,LASSO,30,16,1,0.7,0.3,1
59,Stepwise,30,18,1,0.7,0.3,1
60,LASSO,30,17,1,0.8,0.3,1
61,Stepwise,30,18,1,0.4,0.5,1
62,LASSO,30,12,1,0.3,0.3,1
63,Stepwise,30,13,1,0.5,0.1,1
64,LASSO,30,18,1,0.7,0.5,1
65,Stepwise,30,15,1,0.6,0.2,1
66,LASSO,30,11,1,0.4,0.2,1
67,Stepwise,30,10,1,0.3,0.1,1
68,LASSO,30,9,1,0.3,0.1,1
69,Stepwise,30,13,1,0.6,0.1,1
70,LASSO,30,14,1,0.5,0.4,1
