"","Model","n.wai.missing","n.wbc.missing","Strong1","Strong2","Strong3","Strong4","Strong5"
"1","Stepwise",0,0,5.71526825551402,4.89655238386071,5.05773894590912,4.78914650903294,4.85934353135305
"2","LASSO",0,0,6.03114892103716,4.78114581160362,5.04663294404108,4.74639577563689,4.72607808226249
"3","Stepwise",0,0,6.4347609890499,5.00286655233532,5.2589965925693,5.0816071369073,5.14408907639597
"4","LASSO",0,0,6.22964541672604,4.87579064580684,4.98228780288406,4.72729518954869,4.96238948471646
"5","Stepwise",0,0,6.33712910247139,4.84344108364018,5.05934061870466,5.00462929208385,4.78593812194624
"6","LASSO",0,0,6.32777366243587,4.69309537799021,4.85612159263573,4.75862695160885,4.65088698380459
"7","Stepwise",0,0,6.94551776290153,4.96801874003102,5.00160657494575,5.22267220800112,5.22151576840975
"8","LASSO",0,0,6.48180154919472,4.69764442606332,4.939553456365,5.11006342527372,4.9835062225145
"9","Stepwise",0,0,6.75658875276621,5.12092482709066,5.0119821999547,4.82753407153245,5.11915874025255
"10","LASSO",0,0,6.66227961098876,4.96478214862555,4.61841527048611,4.59015335700252,5.06374178029295
"11","Stepwise",0,0,6.77436247756609,5.14970740527078,5.15726367934693,4.84771107360219,4.97688983138883
"12","LASSO",0,0,6.66856929605762,4.91935688563649,4.91188842825034,4.82391494864811,4.64103386283112
"13","Stepwise",0,0,6.53898897236096,5.38637080942169,5.12631159985197,4.94518281596836,4.8659487316798
"14","LASSO",0,0,6.60917629745967,5.04697171672668,5.05660100022047,4.7888814567414,4.58810087299539
"15","Stepwise",0,0,4.93994485365928,5.10386005370197,4.93149989866179,4.8713390829255,5.02715505932372
"16","LASSO",0,0,6.20035222361034,4.8012155677091,4.81528400355526,4.72416883568742,4.94559774855956
"17","Stepwise",0,0,6.54176854279672,4.74423335905632,5.10814410361985,4.95792492883839,4.86593513161984
"18","LASSO",0,0,6.56162511989004,4.65335345752594,5.00865501084669,4.84704730953281,4.81740610387873
"19","Stepwise",0,0,6.7530980580786,5.08272461162551,4.86837954623363,5.06602508778581,5.08622278358659
"20","LASSO",0,0,6.37537425694594,5.02123861034873,4.68320257302125,4.75747415446162,4.92271506593097
"21","Stepwise",0,0,6.03402008082899,5.08301137279838,4.87102017551302,4.80680249368762,5.05975127106187
"22","LASSO",0,0,5.96231744360457,4.95040266632473,4.81208879855835,4.71066724783371,4.98932615189961
"23","Stepwise",0,0,5.79376197869097,4.91909854336151,4.85515653601013,4.75388934005991,4.915888380466
"24","LASSO",0,0,6.11128502461448,4.74885077227059,4.70443787703307,4.55782006357137,4.95198195293483
"25","Stepwise",0,0,5.25142470829141,4.83344117105243,5.05060550947686,5.06014080259786,5.33839136100712
"26","LASSO",0,0,6.30827039241319,4.98335125457731,4.81499784854299,5.07563883925544,5.02445777499168
"27","Stepwise",0,0,6.391217215402,4.8393176072209,5.06203506513491,5.14290856910376,4.96676682310666
"28","LASSO",0,0,6.39942771530985,4.68440585673824,4.8408860519946,5.04102405511006,4.81287272716818
"29","Stepwise",0,0,7.01262893896715,4.81062254760949,5.12973785938072,5.09366786000152,5.47283599030084
"30","LASSO",0,0,6.98508807023357,4.7076636797423,5.24816883728969,4.90053382385635,5.16940828581086
"31","Stepwise",0,0,6.84116039173405,4.91504515366177,5.00929358000599,4.84247176565438,4.9378216366834
"32","LASSO",0,0,6.62001205018074,4.63940980602039,4.9555844805607,4.69519958114151,4.71191206080666
"33","Stepwise",0,0,7.08493990486426,4.79222397483198,4.89308356699172,4.91938993086818,4.51239214755158
"34","LASSO",0,0,6.79524143438566,4.49839964147512,4.68754545242262,4.68895309475045,4.39875264484339
"35","Stepwise",0,0,6.26778753231382,4.99334873137036,5.08107371388168,5.04200587829787,5.07338582621249
"36","LASSO",0,0,6.53530878311651,4.73036611847042,4.95217554254132,4.85337189639827,4.93172013431505
"37","Stepwise",0,0,6.87876628561385,5.00477489191602,4.91724309695523,5.05902492485478,4.87519561645408
"38","LASSO",0,0,6.53209537120174,4.90621017827076,4.9595150673742,5.00022007630014,4.67963744381134
"39","Stepwise",0,0,6.43694761194963,4.92272370607892,5.3823197038941,5.11191179569565,4.9826805139912
"40","LASSO",0,0,6.27907608840442,4.74928233670887,5.32877106254671,5.06833432881843,4.89225169090063
"41","Stepwise",0,0,6.31145027940871,4.99808885545936,5.12732335975219,4.69843644288309,4.81636526756457
"42","LASSO",0,0,6.1781001875422,4.76597694426785,4.79111685124395,4.64439467051501,4.92257133603191
"43","Stepwise",0,0,6.70043706457066,5.01886674501761,5.10720892268724,4.68647775426362,4.84511756087115
"44","LASSO",0,0,6.28255098285494,4.90139680145164,4.95313286182206,4.53277651260607,4.63208209088945
"45","Stepwise",0,0,6.21906737679299,5.43509703580337,5.0245764828675,5.04528161747079,5.11472265393805
"46","LASSO",0,0,6.39308108127323,5.05539236003365,4.87516584063754,4.91358505701293,4.96133390715964
"47","Stepwise",0,0,6.51752916000333,5.52193696365166,4.96875096881989,5.21164215928921,5.32595178496161
"48","LASSO",0,0,6.49247720873167,5.25020862555284,4.71056819675705,4.92737584913648,5.19486865587558
"49","Stepwise",0,0,6.65398731881835,5.28273858684731,5.32344481665103,4.95626040901288,5.25484317670858
"50","LASSO",0,0,6.68207827112815,5.08393336138451,5.05501218101907,4.79531768837136,5.09851616563789
"51","Stepwise",0,0,6.38673138145167,5.03525585571183,4.93685562528649,4.82408004726622,5.13543862911997
"52","LASSO",0,0,6.21834374626493,4.98481722835692,4.71488722127263,4.73058615645021,4.96272047714255
"53","Stepwise",0,0,6.69729898900223,4.7516912518435,5.05064905155602,4.87990010546416,4.93387211084151
"54","LASSO",0,0,6.52255274522718,4.6905742692133,4.76074751776377,4.60123280751163,4.84774915729848
"55","Stepwise",0,0,6.6633529997649,5.06594967371467,5.20684376145805,4.99158255091829,5.35049947865948
"56","LASSO",0,0,6.40450094211719,5.14665264127086,4.82830869638546,4.84986230449853,5.03596532794147
"57","Stepwise",0,0,6.29852246191372,5.33495311841737,4.66165169781731,4.90596345251064,5.03829681771141
"58","LASSO",0,0,6.47199599187699,5.18784508497594,4.49893395051796,4.80972596087619,4.87322410398269
"59","Stepwise",0,0,6.18365580780215,5.05388354020165,5.16717878667896,5.25539337674343,5.09077156775634
"60","LASSO",0,0,6.27167174058562,4.70457175074535,4.83160164969687,5.18747556984634,4.7580203738339
"61","Stepwise",0,0,6.59215818894783,5.17491591397831,4.94923275584674,4.9153437016829,4.85935188478322
"62","LASSO",0,0,6.26379153796464,4.98322441426279,4.83799722154663,4.7842318028018,4.81878747611034
"63","Stepwise",0,0,5.92876741770409,4.95336896742237,4.91137479474239,5.01498625399374,4.91290937932226
"64","LASSO",0,0,6.50219791960984,4.69236236234976,4.75718764567895,4.87846968537366,4.42468836808041
"65","Stepwise",0,0,6.72050496155121,5.03933167058849,5.14275189002443,4.91328554456415,5.11582877329775
